train_number,n_stops,total_distance_km,avg_km_per_stop,n_skip_segments,stations_skipped
58843,7,85.6,14.3,0,0
63254,13,85.6,7.1,0,0
59205,8,85.4,12.2,0,0
51779,15,85.4,6.1,0,0
51777,15,85.4,6.1,0,0
04032,18,85.2,5.0,0,0
64002,18,85.2,5.0,0,0
54273,12,85.1,7.7,0,0
55727,18,85.1,5.0,0,0
53653,28,85.1,3.2,0,0
55729,18,85.1,5.0,0,0
63241,27,85.0,3.3,0,0
51808,10,84.9,9.4,0,0
58416,20,84.7,4.5,0,0
54012,22,84.3,4.0,0,0
56518,12,84.2,7.7,0,0
56652,19,84.1,4.7,0,0
57279,20,84.0,4.4,0,0
59151,8,84.0,12.0,0,0
17403,20,84.0,4.4,0,0
54402,13,83.9,7.0,0,0
54404,13,83.9,7.0,0,0
54406,12,83.9,7.6,0,0
55552,14,83.8,6.4,0,0
55508,16,83.8,5.6,0,0
55248,14,83.8,6.4,0,0
56100,8,83.8,12.0,0,0
55510,16,83.8,5.6,0,0
52249,13,83.5,7.0,0,0
54324,11,83.4,8.3,0,0
54327,10,83.4,9.3,0,0
55038,11,83.4,8.3,0,0
59206,8,83.3,11.9,0,0
63229,15,83.3,5.9,0,0
53217,15,83.3,5.9,0,0
53213,15,83.3,5.9,0,0
53219,16,83.3,5.6,0,0
54786,12,83.3,7.6,0,0
53215,15,83.3,5.9,0,0
55818,12,83.2,7.6,0,0
52568,11,83.1,8.3,0,0
59152,8,82.9,11.8,0,0
53216,15,82.8,5.9,0,0
63230,15,82.8,5.9,0,0
53220,15,82.8,5.9,0,0
53402,12,82.8,7.5,0,0
58806,7,82.8,13.8,0,0
53218,15,82.8,5.9,0,0
53214,15,82.8,5.9,0,0
56657,19,82.7,4.6,0,0
63542,16,82.7,5.5,0,0
63544,16,82.7,5.5,0,0
56653,19,82.7,4.6,0,0
53360,15,82.6,5.9,0,0
51807,10,82.6,9.2,0,0
52173,15,82.4,5.9,0,0
58845,6,82.4,16.5,0,0
56394,13,82.3,6.9,0,0
56321,11,82.3,8.2,0,0
63247,13,82.1,6.8,0,0
63253,13,82.1,6.8,0,0
63243,13,82.1,6.8,0,0
