station_a,name_a,state_a,station_b,name_b,state_b,num_trains,distance_km
SHE,SEORAPHULI,,DEA,Diara,West Bengal,4,5.6
BBAE,BAIDYABATI,,BHR,BHADRESHWAR,,57,3.7
BHR,BHADRESHWAR,,MUU,MANKUNDU,,57,2.1
MUU,MANKUNDU,,CGR,CHANDAN NAGAR,,57,2.5
CGR,CHANDAN NAGAR,,CNS,CHUCHURA,,57,3.0
CNS,CHUCHURA,,HGY,HOOGHLY,,56,1.7
CNS,CHUCHURA,,MUG,MAGRA,,1,10.3
HGY,HOOGHLY,,BDC,BANDEL JN,,56,2.1
BDC,BANDEL JN,,ADST,ADI SAPTAGRAM,,72,3.4
BDC,BANDEL JN,,HYG,HOOGHLY GHAT,,32,41.0
BDC,BANDEL JN,,BSAE,BANSH BARIA,West Bengal,22,4.1
BDC,BANDEL JN,,KOAA,KOLKATA CHITPUR,,2,35.9
ADST,ADI SAPTAGRAM,,MUG,MAGRA,,72,3.4
MUG,MAGRA,,TLO,TALANDU,,73,3.8
TLO,TALANDU,,KHN,KHANYAN,,73,5.1
KHN,KHANYAN,,PDA,PUNDOOAH,,73,5.3
PDA,PUNDOOAH,,SLG,SIMLAGARH,,72,4.8
PDA,PUNDOOAH,,BOI,BAINCHI,,1,9.3
SLG,SIMLAGARH,,BCGM,BAINCHIGRAM,,72,1.9
BCGM,BAINCHIGRAM,,BOI,BAINCHI,,72,2.5
BOI,BAINCHI,,DBP,DEBIPUR,,72,5.0
BOI,BAINCHI,,MYM,MEMARI,,1,11.9
DBP,DEBIPUR,,BGF,BAGILA,,72,3.9
BGF,BAGILA,,MYM,MEMARI,,71,3.0
MYM,MEMARI,,NMF,NIMO,,71,2.8
NMF,NIMO,,RSLR,RASULPUR,,71,3.1
RSLR,RASULPUR,,PLAE,PALSIT,,71,3.9
VYN,VYASNAGAR,,KEI,KASHI,,93,5.1
JNU,JAUNPUR JN,Uttar Pradesh,KS,KHETA SARAI,Uttar Pradesh,40,22.6
JNU,JAUNPUR JN,Uttar Pradesh,MFJ,Muftiganj,Uttar Pradesh,2,14.6
JNU,JAUNPUR JN,Uttar Pradesh,YDV,Yadvendranagar,Uttar Pradesh,1,5.2
KS,KHETA SARAI,Uttar Pradesh,MGWN,MAHGAWAN HALT,Uttar Pradesh,49,16.5
KS,KHETA SARAI,Uttar Pradesh,MNKN,MANIKALAN HALT,Uttar Pradesh,3,5.4
MGWN,MAHGAWAN HALT,Uttar Pradesh,MIH,MIHRAWAN,Uttar Pradesh,49,6.0
MIH,MIHRAWAN,Uttar Pradesh,SHG,SHAHGANJ JN,,40,21.2
MIH,MIHRAWAN,Uttar Pradesh,MNKN,MANIKALAN HALT,Uttar Pradesh,3,5.2
SHG,SHAHGANJ JN,,BWI,BILWAI,,51,10.9
SHG,SHAHGANJ JN,,DJD,DIDARGANJ ROAD,,22,13.0
BWI,BILWAI,,TLGR,TULSI NAGAR,,51,6.4
TLGR,TULSI NAGAR,,MLPR,MALIPUR,,51,7.7
MLPR,MALIPUR,,JFG,JAFARGANJ,,51,10.0
JFG,JAFARGANJ,,ABP,AKBARPUR,,51,8.9
ABP,AKBARPUR,,KTHE,KATAHRI,,51,11.6
KTHE,KATAHRI,,GGJ,GOSHAINGANJ,,51,10.4
GGJ,GOSHAINGANJ,,ULN,ULNA BHARI,,51,9.5
ULN,ULNA BHARI,,BLG,BILHAR GHAT,,51,7.4
BLG,BILHAR GHAT,,DRG,DARSHANNAGAR,,51,9.9
DRG,DARSHANNAGAR,,AY,AYODHYA,,51,4.0
AY,AYODHYA,,ACND,ACHARYA NARENDRA DEV NAGAR,,55,4.6
AY,AYODHYA,,KEA,KATRA,,15,6.2
ACND,ACHARYA NARENDRA DEV NAGAR,,FD,FAIZABAD JN,,52,2.2
FD,FAIZABAD JN,,SLRP,SALARPUR,,50,12.3
FD,FAIZABAD JN,,BTKD,BHARATKUND,Uttar Pradesh,4,14.8
FD,FAIZABAD JN,,MSOD,MASODHA,,2,6.7
SLRP,SALARPUR,,SLW,SOHWAL,,53,2.9
SLW,SOHWAL,,DELO,DEORAKOT,,53,7.7
DELO,DEORAKOT,,BNM,BARAGAON,,53,5.9
BNM,BARAGAON,,GMU,GAURIYAMAU,,53,5.3
GMU,GAURIYAMAU,,RDL,RUDAULI,,53,4.0
RDL,RUDAULI,,RZN,RAUZAGAON,,53,5.3
RZN,RAUZAGAON,,PTH,PATRANGA,,53,9.3
PTH,PATRANGA,,DYD,DARYABAD,,53,8.5
DYD,DARYABAD,,SYK,SAIDKHANPUR,,53,9.7
SYK,SAIDKHANPUR,,SGJ,SAFDARGANJ,,53,10.2
SGJ,SAFDARGANJ,,RES,RASULL,,53,10.8
ATMO,AITHAL,Uttarakhand,PRI,PATHRI,Uttarakhand,68,5.8
PRI,PATHRI,Uttarakhand,IKK,IKKAR,Uttarakhand,68,5.0
IKK,IKKAR,Uttarakhand,JWP,JWALAPUR,Uttarakhand,68,4.5
JWP,JWALAPUR,Uttarakhand,HW,HARIDWAR JN,Uttarakhand,56,3.9
HW,HARIDWAR JN,Uttarakhand,MOTC,MOTICHUR,Uttarakhand,48,4.3
HW,HARIDWAR JN,Uttarakhand,NZM,DELHI H NIZAMUDDIN,,1,174.7
MOTC,MOTICHUR,Uttarakhand,RWL,RAIWALA,Uttarakhand,51,6.5
RWL,RAIWALA,Uttarakhand,QSR,KANSRAO,Uttarakhand,39,8.3
RWL,RAIWALA,Uttarakhand,VRH,VIRBHADRA,Uttarakhand,12,6.2
QSR,KANSRAO,Uttarakhand,DWO,DOIWALA,Uttarakhand,39,10.9
DWO,DOIWALA,Uttarakhand,HRW,HARRAWALA,Uttarakhand,39,9.8
HRW,HARRAWALA,Uttarakhand,DDN,DEHRADUN,Uttarakhand,19,8.5
BSW,Baneswar,West Bengal,NCB,NEW COOCH BEHAR,,4,4.6
BSW,Baneswar,West Bengal,APD,Alipur Duar,West Bengal,4,10.5
NCB,NEW COOCH BEHAR,,NBS,NEW BANESWAR,,72,6.2
NCB,NEW COOCH BEHAR,,PQZ,PUNDIBARI,,71,10.1
NCB,NEW COOCH BEHAR,,COB,Cooch Behar,West Bengal,1,20.3
APD,Alipur Duar,West Bengal,APDC,Alipur Duar Court,West Bengal,4,2.3
APDC,Alipur Duar Court,West Bengal,APDJ,ALIPUR DUAR JN,West Bengal,3,2.8
KOAA,KOLKATA CHITPUR,,PTKR,PATIPUKUR,,17,1.1
KOAA,KOLKATA CHITPUR,,TALA,TALLA,,1,0.8
GFAE,GARIFA,,HYG,HOOGHLY GHAT,,32,39.9
SLS,SALANPUR,,RNPR,RUPNARAYANPUR,,119,6.6
RNPR,RUPNARAYANPUR,,CRJ,CHITTARANJAN,,117,4.3
CRJ,CHITTARANJAN,,JMT,JAMTARA,,117,13.5
JMT,JAMTARA,,KEE,KASEETAR,,117,7.4
KEE,KASEETAR,,VDS,VIDYASAGAR,,117,12.3
VDS,VIDYASAGAR,,MNC,MADANKATA,,117,4.1
MNC,MADANKATA,,JRW,JORAMOW,,117,6.8
JRW,JORAMOW,,MDP,MADHUPUR JN,,116,10.2
JRW,JORAMOW,,JDPR,Jagdishpur,Jharkhand,1,20.1
MDP,MADHUPUR JN,,MUW,MATHURAPUR,,116,12.9
MDP,MADHUPUR JN,,JGD,Jagadishpur,Jharkhand,2,11.9
MDP,MADHUPUR JN,,SGPA,Sugapahari,Jharkhand,4,6.6
MDP,MADHUPUR JN,,GRD,Giridih,Jharkhand,2,34.6
MUW,MATHURAPUR,,SNQ,SANKARPUR,,117,4.6
MUW,MATHURAPUR,,JGD,Jagadishpur,Jharkhand,1,16.6
SNQ,SANKARPUR,,KBQ,KUMRABAD ROHINI,,117,4.5
KBQ,KUMRABAD ROHINI,,JSME,JASIDIH JN,,114,5.3
JSME,JASIDIH JN,,LHB,LAHABON,,108,14.7
JSME,JASIDIH JN,,SSNR,Satsang Nagar Halt,Jharkhand,12,4.6
JSME,JASIDIH JN,,DGHR,Deoghar,Jharkhand,2,5.4
LHB,LAHABON,,STL,SIMULTALA,,111,10.0
STL,SIMULTALA,,NRGO,NARGANJO HALT,,111,9.1
NRGO,NARGANJO HALT,,JAJ,JHAJHA,,108,7.1
JAJ,JHAJHA,,GHR,GIDHAUR,,101,11.5
JAJ,JHAJHA,,DPX,DADPUR,,7,7.6
JAJ,JHAJHA,,JMU,JAMUI,,1,25.9
GHR,GIDHAUR,,CUX,CHAURA,,112,7.9
GHR,GIDHAUR,,DPX,DADPUR,,11,3.9
CUX,CHAURA,,JMU,JAMUI,,112,6.7
JMU,JAMUI,,BFM,BHALUI,,111,14.0
JMU,JAMUI,,KDER,KUNDER HALT,,1,11.2
JMU,JAMUI,,MNP,MANANPUR,,1,17.9
BFM,BHALUI,,MNP,MANANPUR,,112,3.9
BFM,BHALUI,,KDER,KUNDER HALT,,1,2.8
MNP,MANANPUR,,BSQP,BANSIPUR,,112,2.4
MNP,MANANPUR,,KIUL,KIUL JN,,1,8.9
BSQP,BANSIPUR,,KIUL,KIUL JN,,110,6.5
BSQP,BANSIPUR,,DNRE,DHANAURI,,1,5.5
BSQP,BANSIPUR,,LCK,LAKHOCHAK HALT,,1,1.8
KIUL,KIUL JN,,LKR,LUCKEESARAI JN,,155,1.3
KIUL,KIUL JN,,DNRE,DHANAURI,,47,5.3
KIUL,KIUL JN,,RMPR,RAMPUR HALT,,1,3.5
KIUL,KIUL JN,,RNC,RANCHI,,1,217.3
KIUL,KIUL JN,,UREN,UREN,,3,10.9
KIUL,KIUL JN,,MHLT,MAHESH LETA HALT,,1,3.3
LKR,LUCKEESARAI JN,,MKB,MANKATHA,,141,5.4
LKR,LUCKEESARAI JN,,SRY,SIRARI,Bihar,15,14.8
LKR,LUCKEESARAI JN,,KRTR,KAROTA PATRI HALT,,1,6.0
LKR,LUCKEESARAI JN,,GSDH,GARSANDA HALT,Jharkhand,2,8.9
MKB,MANKATHA,,DMRX,DUMRI HALT,,72,5.1
MKB,MANKATHA,,BRYA,BARHIYA,,69,9.4
DMRX,DUMRI HALT,,BRYA,BARHIYA,,72,4.4
BRYA,BARHIYA,,RDUM,RAMPUR DUMRA,,121,5.5
BRYA,BARHIYA,,HTZ,HATHIDAH JN,,20,9.7
RDUM,RAMPUR DUMRA,,HTZ,HATHIDAH JN,,118,4.2
RDUM,RAMPUR DUMRA,,RJO,RAJENDRA PUL,,2,6.4
RDUM,RAMPUR DUMRA,,ANAH,AUNTA HALT,,1,7.5
HTZ,HATHIDAH JN,,RJO,RAJENDRA PUL,,80,3.2
HTZ,HATHIDAH JN,,ANAH,AUNTA HALT,,130,4.1
HTZ,HATHIDAH JN,,PNBE,PATNA JN,,1,89.3
RJO,RAJENDRA PUL,,SAE,SIMARIA,,85,2.6
RJO,RAJENDRA PUL,,ANAH,AUNTA HALT,,4,6.2
RJO,RAJENDRA PUL,,GHX,GARHARA,,1,6.0
SAE,SIMARIA,,GHX,GARHARA,,86,3.5
SAE,SIMARIA,,HTZU,HATHIDAH UPPER,,1,7.1
GHX,GARHARA,,BJU,BARAUNI JN,,87,2.9
BJU,BARAUNI JN,,TGA,TEGHRA,,95,7.2
BJU,BARAUNI JN,,BUJ,BARAUNI FLAG,,9,2.7
BJU,BARAUNI JN,,TIL,TILRATH,Bihar,75,8.3
BJU,BARAUNI JN,,MKA,MOKAMEH JN,,1,10.9
TGA,TEGHRA,,BCA,BACHWARA JN,,116,8.9
TGA,TEGHRA,,BUJ,BARAUNI FLAG,,16,4.8
BCA,BACHWARA JN,,STJT,SATHAJAGAT,,86,6.4
BCA,BACHWARA JN,,VPN,VIDYAPATINAGAR,Bihar,30,10.1
STJT,SATHAJAGAT,,DSS,DALSINGH SARAI,,86,4.6
DSS,DALSINGH SARAI,,NAZJ,NAZIRGANJ,,86,7.5
NAZJ,NAZIRGANJ,,UJP,UJIARPUR,,86,6.3
UJP,UJIARPUR,,SPJ,SAMASTIPUR JN,,83,8.8
SPJ,SAMASTIPUR JN,,KPGM,KARPURIGRAM,,79,6.4
SPJ,SAMASTIPUR JN,,MKPR,MUKTAPUR,,52,3.0
SPJ,SAMASTIPUR JN,,BGDS,BHAGWANPUR DESU,,17,6.8
SPJ,SAMASTIPUR JN,,KSP,KISHANPUR,,3,9.1
SPJ,SAMASTIPUR JN,,SHC,SAHARSA JN,Bihar,1,80.8
KPGM,KARPURIGRAM,,KRBP,KHUDIRAM B PUSA,,84,6.6
KPGM,KARPURIGRAM,,MKPR,MUKTAPUR,,1,7.3
KRBP,KHUDIRAM B PUSA,,DUBH,DUBAHA,,84,7.3
DUBH,DUBAHA,,DOL,DHOLI,,84,6.3
DOL,DHOLI,,SIHO,SIHO,,84,6.6
SIHO,SIHO,,SLT,SILAUT,,84,7.7
SLT,SILAUT,,NRPA,NARAYANPUR ANANT,,84,5.6
KRTH,KIRATGARH,,SAHL,SAHELI,,126,7.4
KRTH,KIRATGARH,,TAKU,TAKU,,5,5.1
SAHL,SAHELI,,KQE,KALA AKHAR,,128,10.4
SAHL,SAHELI,,TAKU,TAKU,,1,3.1
KQE,KALA AKHAR,,DOH,DHODRA MOHAR,,132,13.9
KQE,KALA AKHAR,,TAKU,TAKU,,4,13.5
DOH,DHODRA MOHAR,,BBTR,BARBATPUR,,132,10.5
BBTR,BARBATPUR,,GDYA,GHORADONGRI,,132,11.5
GDYA,GHORADONGRI,,DHQ,DHARAKHOH,,132,14.1
DHQ,DHARAKHOH,,MJY,MARAMJHIRI,,132,9.8
MJY,MARAMJHIRI,,BZU,BETUL,,132,6.0
BZU,BETUL,,MALK,MALKAPUR ROAD,,133,6.4
MALK,MALKAPUR ROAD,,BYS,BARSALI,,134,6.6
BYS,BARSALI,,AMLA,AMLA JN,,131,9.5
BYS,BARSALI,,JKR,JAULKHERA,,1,20.7
BYS,BARSALI,,JMV,Jambara,Madhya Pradesh,1,23.1
AMLA,AMLA JN,,JKR,JAULKHERA,,123,13.2
AMLA,AMLA JN,,JMV,Jambara,Madhya Pradesh,10,13.5
JKR,JAULKHERA,,MTY,MULTAI,,125,7.7
MTY,MULTAI,,HTN,HATNA PUR,,125,7.8
HTN,HATNA PUR,,CCD,CHICHONDA,,125,6.1
CCD,CHICHONDA,,GDKP,GHUNDANKHAPA,,125,9.7
GDKP,GHUNDANKHAPA,,TEO,TEEGAON,,125,4.1
TEO,TEEGAON,,PAR,PANDHURNA,,125,8.5
PAR,PANDHURNA,,DDMT,DARIMETA,,125,6.1
DDMT,DARIMETA,,NRKR,NARKHER,,125,7.8
NRKR,NARKHER,,TNH,TINKHEDA,,125,6.8
TNH,TINKHEDA,,KLBA,KALAMBHA,,125,7.9
KLBA,KALAMBHA,,KATL,KATOL,,125,9.7
KATL,KATOL,,MER,METPANJRA,,125,7.1
MER,METPANJRA,,SNKB,SONKHAMB,,125,6.9
SNKB,SONKHAMB,,KOHL,KOHLI,,125,8.5
KOHL,KOHLI,,KSWR,KALMESHWAR,,125,12.3
KSWR,KALMESHWAR,,BWRA,BHARATWADA,,125,10.5
BWRA,BHARATWADA,,GNQ,GODHANI,,125,5.8
GNQ,GODHANI,,NGP,NAGPUR,,120,6.7
NGP,NAGPUR,,AJNI,AJNI,,177,3.0
NGP,NAGPUR,,ITR,ITWARI,,65,3.2
NGP,NAGPUR,,BUX,BHANDAK,,1,118.9
AJNI,AJNI,,KRI,KHAPTI,,189,9.3
KRI,KHAPTI,,GMG,GUMGAON,,189,6.5
GMG,GUMGAON,,BTBR,BUTI BORI,,189,8.5
BTBR,BUTI BORI,,BOK,BORKHEDI,,189,7.7
BOK,BORKHEDI,,SNI,SINDI,,189,10.6
SNI,SINDI,,TGP,TULJAPUR,,189,8.0
TGP,TULJAPUR,,SLOR,SELOO ROAD,,189,10.1
SLOR,SELOO ROAD,,SEGM,SEVAGRAM,,189,10.8
SEGM,SEVAGRAM,,BPK,BHUGAON,,119,9.0
SEGM,SEVAGRAM,,WR,WARDHA JN,,81,2.7
BPK,BHUGAON,,SNN,SONEGAON,,123,6.4
BPK,BHUGAON,,WR,WARDHA JN,,4,10.3
SNN,SONEGAON,,HGT,HINGANGHAT,,123,16.1
HGT,HINGANGHAT,,NGI,NAGARI,,123,16.2
NGI,NAGARI,,CKNI,CHIKNI ROAD,,122,11.6
CKNI,CHIKNI ROAD,,WRR,WARORA,,123,10.5
WRR,WARORA,,MJRI,MAJRI JN,,123,12.2
MJRI,MAJRI JN,,BUX,BHANDAK,,116,9.5
MJRI,MAJRI JN,,WANI,WANI,Maharashtra,6,11.7
MJRI,MAJRI JN,,TAE,TADALI,,1,19.0
BUX,BHANDAK,,TAE,TADALI,,113,9.6
TAE,TADALI,,CD,CHANDRAPUR,,117,14.4
CD,CHANDRAPUR,,BUPH,BABUPETH,,117,4.3
BUPH,BABUPETH,,VSP,WASANAPURA,,119,4.5
BUPH,BABUPETH,,GNVR,GONDWANAVISAPUR,,6,4.8
BUPH,BABUPETH,,CAF,Chanda Fort,Maharashtra,8,1.9
VSP,WASANAPURA,,GNVR,GONDWANAVISAPUR,,119,0.3
GNVR,GONDWANAVISAPUR,,BPQ,BALHARSHAH,,123,4.3
BPQ,BALHARSHAH,,MAGH,MANIKGARH,,123,8.6
MAGH,MANIKGARH,,VHGN,WIHIRGAON,,125,8.3
VHGN,WIHIRGAON,,WIRR,WIRUR,,125,9.4
WIRR,WIRUR,,MKDI,MAKUDI,,125,5.7
MKDI,MAKUDI,,SRUR,SIRPUR TOWN,,125,17.2
SRUR,SIRPUR TOWN,,SKZR,SIRPUR KAGAZNAGAR,,126,16.6
SKZR,SIRPUR KAGAZNAGAR,,ASAF,ASIFABAD ROAD,,128,12.5
ASAF,ASIFABAD ROAD,,RECH,RECHNI ROAD,,129,13.4
RECH,RECHNI ROAD,,BPA,BELAMPALLI,,129,10.3
BPA,BELAMPALLI,,MMZ,MANDAMARI,,129,9.3
MMZ,MANDAMARI,,RVKH,RAVINDRAKHANI,,129,4.0
RVKH,RAVINDRAKHANI,,MCI,MANCHIRYAL,,129,6.6
MCI,MANCHIRYAL,,PPZ,PEDDEMPET,,130,8.8
PPZ,PEDDEMPET,,RDM,RAMGUNDAM,,131,4.5
RDM,RAMGUNDAM,,RGPM,RAGHAVAPURAM,,131,9.5
RGPM,RAGHAVAPURAM,,PDPL,PEDDAPALLI,,131,7.8
PDPL,PEDDAPALLI,,KYOP,KOTTAPALLI,,131,8.3
KYOP,KOTTAPALLI,,KOLR,KOLNUR,,131,5.2
KOLR,KOLNUR,,OEA,ODELA,,131,5.4
OEA,ODELA,,PTKP,POTKAPALLI,,131,3.4
PTKP,POTKAPALLI,,BGSF,BISUGIRSHARIF,,131,9.2
BGSF,BISUGIRSHARIF,,JMKT,JAMIKUNTA,,131,6.5
JMKT,JAMIKUNTA,,OPL,UPPAL,,131,11.9
OPL,UPPAL,,HSP,HASANPARTHI RD,,131,11.9
HSP,HASANPARTHI RD,,KZJT,KAZIPET TOWN,,77,10.7
HSP,HASANPARTHI RD,,KZJ,KAZIPET JN,,52,11.6
KZJT,KAZIPET TOWN,,WL,WARANGAL,Andhra Pradesh,77,9.3
WL,WARANGAL,Andhra Pradesh,CLE,CHINTALPALLI,Andhra Pradesh,133,12.1
WL,WARANGAL,Andhra Pradesh,KZJ,KAZIPET JN,,54,9.9
CLE,CHINTALPALLI,Andhra Pradesh,YGL,YELGUR,Andhra Pradesh,133,7.7
YGL,YELGUR,Andhra Pradesh,NKD,NEKONDA,Andhra Pradesh,133,9.5
NKD,NEKONDA,Andhra Pradesh,INK,INTAKANNE,Andhra Pradesh,133,9.5
INK,INTAKANNE,Andhra Pradesh,KDM,KESAMUDRAM,Andhra Pradesh,133,6.0
KDM,KESAMUDRAM,Andhra Pradesh,TAA,TADLA PUSAPALLI,Andhra Pradesh,133,9.0
TAA,TADLA PUSAPALLI,Andhra Pradesh,MABD,MAHBUBABAD,Andhra Pradesh,133,5.8
MABD,MAHBUBABAD,Andhra Pradesh,GUU,GUNDRATIMADUGU,Andhra Pradesh,133,11.2
GUU,GUNDRATIMADUGU,Andhra Pradesh,GLA,GARLA,Andhra Pradesh,133,8.0
GLA,GARLA,Andhra Pradesh,DKJ,DORNAKAL JN,Andhra Pradesh,132,4.8
GLA,GARLA,Andhra Pradesh,PCZ,Pocharam,Andhra Pradesh,1,10.1
DKJ,DORNAKAL JN,Andhra Pradesh,PPY,PAPATAPALLI,Andhra Pradesh,125,8.4
DKJ,DORNAKAL JN,Andhra Pradesh,PCZ,Pocharam,Andhra Pradesh,13,9.8
DKJ,DORNAKAL JN,Andhra Pradesh,MUGR,Manuguru,Andhra Pradesh,1,86.7
PPY,PAPATAPALLI,Andhra Pradesh,MLMG,MALLEMADUGU,Andhra Pradesh,125,5.6
MLMG,MALLEMADUGU,Andhra Pradesh,KMT,KHAMMAM,Andhra Pradesh,125,8.7
KMT,KHAMMAM,Andhra Pradesh,PNDP,PANDILLAPALLI,Andhra Pradesh,125,9.2
PNDP,PANDILLAPALLI,Andhra Pradesh,CKN,CHINTA KANI,Andhra Pradesh,125,6.0
CKN,CHINTA KANI,Andhra Pradesh,NVC,NAGALWANCHA,Andhra Pradesh,125,6.5
NVC,NAGALWANCHA,Andhra Pradesh,BKL,BONA KALU,Andhra Pradesh,125,5.9
BKL,BONA KALU,Andhra Pradesh,MTMI,MOTIMARI,Andhra Pradesh,125,10.5
MTMI,MOTIMARI,Andhra Pradesh,MDR,MADHIRA,Andhra Pradesh,125,6.2
MDR,MADHIRA,Andhra Pradesh,TNGM,TONDALAGOPAVARAM,Andhra Pradesh,125,9.0
TNGM,TONDALAGOPAVARAM,Andhra Pradesh,YP,ERRUPALEM,Andhra Pradesh,125,6.4
YP,ERRUPALEM,Andhra Pradesh,GNN,GANGINENI,Andhra Pradesh,125,5.7
GNN,GANGINENI,Andhra Pradesh,CVV,CHERUVU MADHAVARAM,Andhra Pradesh,125,4.5
CVV,CHERUVU MADHAVARAM,Andhra Pradesh,KI,KONDAPALLI,Andhra Pradesh,125,14.0
KI,KONDAPALLI,Andhra Pradesh,RYP,RAYANAPAD,Andhra Pradesh,125,5.4
RYP,RAYANAPAD,Andhra Pradesh,BZA,VIJAYAWADA JN,,121,8.9
BZA,VIJAYAWADA JN,,KCC,KRISHNA CANAL,,201,4.8
BZA,VIJAYAWADA JN,,RMV,RAMAVARAPPADU,Andhra Pradesh,26,6.6
BZA,VIJAYAWADA JN,,GALA,GUNADALA,,122,5.7
BZA,VIJAYAWADA JN,,STPM,S NARAYANAPURAM,Andhra Pradesh,3,3.2
KCC,KRISHNA CANAL,,KAQ,KOLANUKONDA,,162,3.2
KCC,KRISHNA CANAL,,MAG,MANGALAGIRI,,44,6.0
KCC,KRISHNA CANAL,,TEL,TENALI JN,,3,26.4
KAQ,KOLANUKONDA,,PVD,PEDDAVADIAPUDI,,162,3.9
PVD,PEDDAVADIAPUDI,,CLVR,CHILUVUR,,162,3.9
CLVR,CHILUVUR,,DIG,DUGGIRALA,,162,5.8
DIG,DUGGIRALA,,KLX,KOLAKALUR,,162,3.6
KLX,KOLAKALUR,,TEL,TENALI JN,,162,6.0
TEL,TENALI JN,,TSR,TSUNDURU,,179,11.1
TEL,TENALI JN,,AKU,ANGALAKUDURU,Andhra Pradesh,24,3.4
TEL,TENALI JN,,CIV,Chinnaravuru,Andhra Pradesh,5,2.6
TSR,TSUNDURU,,MDKU,MODUKURU,,179,3.6
MDKU,MODUKURU,,NDO,NIDUBROLU,,179,7.0
NDO,NIDUBROLU,,MCVM,MACHAVARAM,,179,5.0
MCVM,MACHAVARAM,,APL,APPIKATLA,,179,6.8
APL,APPIKATLA,,BPP,BAPATLA,,179,8.4
BPP,BAPATLA,,SPF,STUARTPURAM,,179,8.0
SPF,STUARTPURAM,,IPPM,IPURUPALEM,,179,2.9
IPPM,IPURUPALEM,,IPPN,IPURUPALEM HALT,,179,0.1
IPPN,IPURUPALEM HALT,,CLX,CHIRALA,,179,4.2
CLX,CHIRALA,,JAQ,JANDRAPETA,,179,3.2
JAQ,JANDRAPETA,,VTM,VETAPALEMU,,179,4.6
VTM,VETAPALEMU,,KPLL,KOTTA PANDILA PALLI,,179,3.2
KPLL,KOTTA PANDILA PALLI,,KVDU,KADAVAKUDURU,,179,5.1
KVDU,KADAVAKUDURU,,CJM,CHINNA GANJAM,,179,4.3
CJM,CHINNA GANJAM,,UGD,UPPUGUNDURU,,179,6.3
UGD,UPPUGUNDURU,,RPRL,RAPARLA HALT,,179,4.4
RPRL,RAPARLA HALT,,ANB,AMMANABROLU,,179,3.4
ANB,AMMANABROLU,,KRV,KARAVADI,,179,6.1
KRV,KARAVADI,,OGL,ONGOLE,,179,8.5
OGL,ONGOLE,,SDM,SURAREDDIPALEM,,179,10.1
SDM,SURAREDDIPALEM,,TNR,TANGUTURU,,179,7.9
TNR,TANGUTURU,,SKM,SINGARAYAKONDA,,179,9.4
SKM,SINGARAYAKONDA,,UPD,ULAVAPADU,,179,9.7
UPD,ULAVAPADU,,TTU,TETTU,,179,13.8
TTU,TETTU,,KVZ,KAVALI,,179,14.2
KVZ,KAVALI,,SVPM,S VENKTESWRPALM,,179,12.2
SVPM,S VENKTESWRPALM,,BTTR,BITRAGUNTA,,177,4.2
BTTR,BITRAGUNTA,,AXR,ALLURU ROAD,,177,6.5
AXR,ALLURU ROAD,,TMC,TALAMANCHI,,177,11.5
TMC,TALAMANCHI,,KJJ,KODAVALURU,,177,4.8
KJJ,KODAVALURU,,PGU,PADUGUPADU,,177,7.5
PGU,PADUGUPADU,,NLR,NELLORE,,177,4.0
NLR,NELLORE,,NLS,NELLORE SOUTH,,177,1.9
NLS,NELLORE SOUTH,,VDE,VEDAYAPALEM,,177,5.3
VDE,VEDAYAPALEM,,VKT,VENKATACHALAM,,177,9.2
VKT,VENKATACHALAM,,MBL,MANUBOLU,,177,12.4
MBL,MANUBOLU,,GDR,GUDUR JN,,173,9.4
MBL,MANUBOLU,,TPTY,TIRUPATI MAIN,,1,82.9
MBL,MANUBOLU,,KQA,KONDAGUNTA,,1,18.6
GDR,GUDUR JN,,ODUR,ODUR,,101,8.5
GDR,GUDUR JN,,KQA,KONDAGUNTA,,71,9.4
GDR,GUDUR JN,,COA,Kakinada Port,Andhra Pradesh,1,404.0
ODUR,ODUR,,PYA,PEDAPARIYA,,102,6.0
PYA,PEDAPARIYA,,NYP,NAYADUPETA,,102,12.9
NYP,NAYADUPETA,,DVR,DORAVARI CHATRAM,,102,11.8
DVR,DORAVARI CHATRAM,,PEL,POLIREDDIPALEM,,102,6.8
PEL,POLIREDDIPALEM,,SPE,SULLURUPETA,,102,8.1
SPE,SULLURUPETA,,AKAT,AKKAMPET,,113,5.3
AKAT,AKKAMPET,,TADA,TADA,,112,7.0
TADA,TADA,,AKM,ARAMBAKKAM,,113,7.4
AKM,ARAMBAKKAM,,ELR,ELAVUR,,113,9.4
ELR,ELAVUR,,GPD,GUMMIDIPUNDI,,112,5.5
GPD,GUMMIDIPUNDI,,KVP,KAVARAIPPETTAI,,112,5.7
KVP,KAVARAIPPETTAI,,PON,PONNERI,,112,6.6
PON,PONNERI,,APB,ANUPPAMBATTU,,113,4.7
APB,ANUPPAMBATTU,,MJR,MINJUR,,113,4.0
MJR,MINJUR,,NPKM,NANDIYAMPAKKAM,,113,2.3
NPKM,NANDIYAMPAKKAM,,AIP,ATTIPPATTU,,113,1.6
AIP,ATTIPPATTU,,ENR,ENNORE,,102,6.0
AIP,ATTIPPATTU,,AIPP,ATTIPPATTU PUDU NAGAR,,11,1.8
ENR,ENNORE,,KAVM,KATHIVAKKAM,,113,1.6
ENR,ENNORE,,AIPP,ATTIPPATTU PUDU NAGAR,,11,4.2
KAVM,KATHIVAKKAM,,WCN,WIMCO NAGAR,,113,2.9
